Date,Nifty_Price,Nifty_returns,ACC_Price,ACC_returns,AXBX_Price,AXBX_returns,BPCL_Price,BPCL_returns,CIPL_Price,CIPL_returns,DLF_Price,DLF_returns,INFY_Price,INFY_returns,LT_Price,LT_returns,MRTI_Price,MRTI_returns
23-06-2025,"24,971.90",0,"1,817.20",0,"1,214.10",0,313.45,0,"1,499.10",0,852.45,0,"1,584.00",0,"3,583.70",0,"12,699.00",0
20-06-2025,"25,112.40",0.005626324,"1,823.00",0.003191724,"1,220.70",0.005436126,313.5,0.000159515,"1,499.70",0.00040024,854.25,0.002111561,"1,622.90",0.02,"3,662.00",0.021848927,"12,791.00",0.007244665
19-06-2025,"24,793.25",-0.012708861,"1,825.60",0.001426221,"1,217.50",-0.002621447,313.45,-0.00015949,"1,484.00",-0.01046876,839.9,-0.016798361,"1,618.40",0,"3,621.10",-0.01116876,"12,806.00",0.0011727
18-06-2025,"24,812.05",0.000758271,"1,840.60",0.008216477,"1,221.00",0.002874743,315.85,0.007656724,"1,498.10",0.009501348,844.8,0.005834028,"1,632.90",0.01,"3,601.50",-0.00541272,"12,748.00",-0.004529127
17-06-2025,"24,853.40",0.001666529,"1,860.70",0.010920352,"1,215.10",-0.004832105,312.8,-0.009656483,"1,503.50",0.003604566,851.45,0.007871686,"1,639.90",0,"3,622.30",0.005775371,"12,595.00",-0.012001883
16-06-2025,"24,946.50",0.003745966,"1,872.70",0.006449186,"1,215.40",0.000246893,316.4,0.011508951,"1,527.00",0.015630196,859,0.008867226,"1,623.80",-0.01,"3,628.70",0.001766833,"12,530.00",-0.005160778
13-06-2025,"24,718.60",-0.00913555,"1,846.20",-0.014150692,"1,205.80",-0.007898634,312.3,-0.012958281,"1,505.20",-0.014276359,851.25,-0.009022119,"1,602.00",-0.01,"3,587.40",-0.011381486,"12,408.00",-0.009736632
12-06-2025,"24,888.20",0.00686123,"1,865.50",0.010453905,"1,212.90",0.005888207,318.65,0.020333013,"1,502.80",-0.001594472,847.85,-0.003994126,"1,608.60",0,"3,603.90",0.004599431,"12,390.00",-0.001450677
11-06-2025,"25,141.40",0.010173496,"1,905.80",0.021602787,"1,231.40",0.0152527,333.85,0.04770124,"1,521.70",0.012576524,868.55,0.024414696,"1,631.10",0.01,"3,684.80",0.022447904,"12,452.00",0.005004036
10-06-2025,"25,104.25",-0.001477642,"1,913.10",0.003830412,"1,232.80",0.001136917,320.1,-0.041186161,"1,510.80",-0.007163041,868,-0.000633239,"1,596.00",-0.02,"3,679.80",-0.001356926,"12,520.00",0.00546097
09-06-2025,"25,103.20",-4.18E-05,"1,905.60",-0.003920339,"1,219.90",-0.010463984,320.4,0.000937207,"1,506.60",-0.002779984,878.6,0.012211982,"1,572.90",-0.01,"3,678.90",-0.000244579,"12,637.00",0.009345048
06-06-2025,"25,003.05",-0.003989531,"1,904.30",-0.0006822,"1,194.60",-0.020739405,316.7,-0.011548065,"1,504.20",-0.001592991,880.35,0.001991805,"1,563.80",-0.01,"3,656.30",-0.006143141,"12,462.00",-0.013848223
05-06-2025,"24,750.90",-0.01008477,"1,884.90",-0.01018747,"1,159.00",-0.02980077,309.8,-0.02178718,"1,489.80",-0.009573195,825.7,-0.062077583,"1,554.30",-0.01,"3,642.60",-0.003746957,"12,126.00",-0.026961964
04-06-2025,"24,620.20",-0.005280616,"1,877.00",-0.004191204,"1,171.00",0.010353753,311.55,0.005648806,"1,471.90",-0.012015036,803.4,-0.027007388,"1,551.20",0,"3,626.50",-0.00441992,"12,163.00",0.003051295
03-06-2025,"24,542.50",-0.003155945,"1,879.20",0.001172083,"1,181.50",0.008966695,309.75,-0.005777564,"1,473.20",0.000883212,804.55,0.001431416,"1,543.00",-0.01,"3,644.80",0.005046188,"12,128.00",-0.00287758
02-06-2025,"24,716.60",0.007093817,"1,884.10",0.002607493,"1,194.40",0.010918324,316.6,0.022114609,"1,470.20",-0.002036383,810.7,0.007644025,"1,553.80",0.01,"3,679.60",0.009547849,"12,290.00",0.01335752
30-05-2025,"24,750.70",0.00137964,"1,882.80",-0.000689985,"1,192.20",-0.001841929,318.4,0.005685407,"1,465.70",-0.003060808,797.85,-0.0158505,"1,562.70",0.01,"3,675.10",-0.001222959,"12,319.00",0.002359642
29-05-2025,"24,833.60",0.0033494,"1,917.30",0.018323773,"1,201.70",0.007968462,319.15,0.002355528,"1,476.90",0.0076414,793.75,-0.005138811,"1,585.60",0.01,"3,655.30",-0.005387609,"12,392.00",0.005925806
28-05-2025,"24,752.45",-0.00326775,"1,920.10",0.001460387,"1,194.70",-0.005825081,321.7,0.007989973,"1,468.50",-0.005687589,772,-0.027401575,"1,571.80",-0.01,"3,646.30",-0.002462178,"12,331.00",-0.004922531
27-05-2025,"24,826.20",0.002979503,"1,936.80",0.008697464,"1,195.60",0.000753327,317,-0.014609885,"1,480.50",0.008171604,774.05,0.00265544,"1,570.10",0,"3,640.00",-0.001727779,"12,414.00",0.006731003
26-05-2025,"25,001.15",0.007046991,"1,958.40",0.011152416,"1,215.20",0.016393443,322.95,0.018769716,"1,484.20",0.002499156,777.8,0.004844648,"1,580.50",0.01,"3,648.70",0.00239011,"12,421.00",0.000563879
23-05-2025,"24,853.15",-0.005919728,"1,959.40",0.000510621,"1,210.10",-0.00419684,318.9,-0.012540641,"1,484.20",0,776.5,-0.001671381,"1,564.80",-0.01,"3,599.90",-0.013374627,"12,453.00",0.002576282
22-05-2025,"24,609.70",-0.009795539,"1,944.30",-0.007706441,"1,188.50",-0.017849764,313.05,-0.018344309,"1,468.50",-0.010578089,775.8,-0.000901481,"1,547.50",-0.01,"3,551.40",-0.013472596,"12,445.00",-0.000642415
21-05-2025,"24,813.45",0.008279256,"1,941.40",-0.001491539,"1,197.80",0.007824989,315.85,0.008944258,"1,482.40",0.009465441,775.15,-0.000837845,"1,568.50",0.01,"3,589.00",0.010587374,"12,615.00",0.013660104
20-05-2025,"24,683.90",-0.005220959,"1,920.20",-0.010919955,"1,195.80",-0.001669728,312.9,-0.009339877,"1,454.40",-0.018888289,753.5,-0.027930078,"1,560.60",-0.01,"3,567.80",-0.005906938,"12,638.00",0.001823226
19-05-2025,"24,945.45",0.010595976,"1,930.00",0.005103635,"1,202.80",0.005853822,317.2,0.01374241,"1,491.60",0.025577558,737.65,-0.021035169,"1,559.80",0,"3,600.20",0.009081227,"12,989.00",0.027773382
16-05-2025,"25,019.80",0.002980503,"1,928.40",-0.000829016,"1,208.80",0.00498836,320.1,0.009142497,"1,499.90",0.005564495,715.9,-0.029485528,"1,589.90",0.02,"3,604.70",0.001249931,"12,995.00",0.000461929
15-05-2025,"25,062.10",0.001690661,"1,883.60",-0.023231695,"1,209.10",0.00024818,317,-0.009684474,"1,502.20",0.001533436,709.05,-0.009568375,"1,613.00",0.01,"3,618.20",0.003745111,"12,952.00",-0.003308965
14-05-2025,"24,666.90",-0.01576883,"1,861.00",-0.011998301,"1,195.50",-0.011248036,312.5,-0.014195584,"1,494.80",-0.004926108,688.7,-0.028700374,"1,592.40",-0.01,"3,573.10",-0.012464761,"12,670.00",-0.021772699
13-05-2025,"24,578.35",-0.003589831,"1,853.40",-0.004083826,"1,193.60",-0.001589293,306.9,-0.01792,"1,520.10",0.016925341,677.85,-0.01575432,"1,568.60",-0.01,"3,567.00",-0.001707201,"12,482.00",-0.0148382
12-05-2025,"24,924.70",0.01409167,"1,858.80",0.002913564,"1,203.00",0.007875335,309.05,0.007005539,"1,511.60",-0.005591737,680.5,0.003909419,"1,626.90",0.04,"3,587.20",0.005663022,"12,616.00",0.010735459
09-05-2025,"24,008.00",-0.036778778,"1,811.60",-0.025392726,"1,151.10",-0.043142145,306.85,-0.007118589,"1,480.00",-0.020905001,631.7,-0.071711976,"1,507.60",-0.07,"3,443.90",-0.039947591,"12,250.00",-0.02901078
08-05-2025,"24,273.80",0.01107131,"1,809.00",-0.001435195,"1,172.20",0.018330293,307.95,0.003584813,"1,486.80",0.004594595,655.05,0.036963749,"1,511.40",0,"3,323.90",-0.034844217,"12,392.00",0.011591837
